geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
PARP2	poly (ADP-ribose) polymerase 2	1850612	0.078586764	0.235690961	0.511618475
PITPNB	"phosphatidylinositol transfer protein, beta"	1980687	0.083193854	0.235828784	0.511864295
NA	NA	2030537	0.089245475	0.235850237	0.511864295
ZNF24	zinc finger protein 24	7380553	0.087473335	0.236060765	0.51227121
NA	NA	4390021	0.088345691	0.236111472	0.512331254
KLHL20	kelch-like 20 (Drosophila)	130408	0.099007212	0.236252568	0.5125874
NKX6-3	NK6 homeobox 3	7100538	0.090367193	0.236343401	0.512725745
NA	NA	1450546	0.082208313	0.236362442	0.512725745
NA	NA	1510519	0.085867397	0.236421927	0.512804762
COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	6270047	-0.078875317	0.236449259	0.512814032
KCNK2	"potassium channel, subfamily K, member 2"	2680215	0.077196793	0.23655251	0.51297197
CHEK2	CHK2 checkpoint homolog (S. pombe)	5260685	-0.085704228	0.236568214	0.51297197
C1orf216	chromosome 1 open reading frame 216	4670608	0.085532422	0.236614049	0.513021335
ZNF655	zinc finger protein 655	540010	0.095154877	0.236657265	0.513065015
ZHX2	zinc fingers and homeoboxes 2	6250091	-0.103896181	0.236706386	0.513121486
LENG8	leukocyte receptor cluster (LRC) member 8	2000142	0.081089944	0.236734345	0.513123982
C6orf163	chromosome 6 open reading frame 163	3610075	0.10601752	0.236753684	0.513123982
C2orf28	chromosome 2 open reading frame 28	3800025	0.08215448	0.236816836	0.513166074
ANKRD6	ankyrin repeat domain 6	4880465	0.082037727	0.236844487	0.513166074
NA	NA	5670047	0.082696122	0.23684782	0.513166074
MAGED1	"melanoma antigen family D, 1"	460113	0.088778019	0.236865405	0.513166074
C9orf9	chromosome 9 open reading frame 9	5860709	0.101274174	0.236940376	0.513278493
NA	NA	6860661	-0.098179963	0.236984874	0.513324887
ADAM2	ADAM metallopeptidase domain 2	6110315	-0.084041308	0.237037427	0.513388717
NA	NA	3840598	-0.092224999	0.237154821	0.513540449
NA	NA	3180259	0.097038589	0.237199133	0.513540449
NFU1	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)	6380291	0.119971451	0.237221362	0.513540449
NA	NA	6650603	-0.119408648	0.237236818	0.513540449
NA	NA	4060376	0.087261087	0.237237654	0.513540449
SIGMAR1	sigma non-opioid intracellular receptor 1	510136	0.077490502	0.237246035	0.513540449
HINFP	histone H4 transcription factor	1690324	-0.107523687	0.237357025	0.513690749
C8orf59	chromosome 8 open reading frame 59	1510452	-0.091604115	0.237361668	0.513690749
BFAR	bifunctional apoptosis regulator	610022	0.086863	0.237385829	0.513693047
RPS3A	ribosomal protein S3A	3180438	-0.102390754	0.237528371	0.513951494
FAF1	Fas (TNFRSF6) associated factor 1	3840164	-0.085518904	0.237570922	0.513993552
SREBF2	sterol regulatory element binding transcription factor 2	6550138	0.088043687	0.23760432	0.514015804
NA	NA	2850671	0.088985833	0.237720617	0.514205022
NA	NA	6620382	0.084075308	0.237738029	0.514205022
IARS2	"isoleucyl-tRNA synthetase 2, mitochondrial"	2340731	0.096038743	0.237847297	0.514391329
ALG5	"asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)"	6370113	-0.091231402	0.237911168	0.51447943
CLK4	CDC-like kinase 4	5820403	-0.093412918	0.237959092	0.514533033
PLCD1	"phospholipase C, delta 1"	1580324	-0.083777912	0.238036884	0.514651201
NA	NA	6420563	0.08354938	0.238068683	0.514669917
NA	NA	6510360	-0.082046367	0.238197959	0.514899341
ARL4A	ADP-ribosylation factor-like 4A	7560615	-0.090446223	0.2383116	0.515094923
MSI2	musashi homolog 2 (Drosophila)	7040369	0.080077118	0.238435075	0.515311723
ACSF3	acyl-CoA synthetase family member 3	5820142	0.101092072	0.238523662	0.515453087
NA	NA	4220450	0.098843056	0.23856238	0.515486667
NA	NA	5490543	0.080592821	0.238611835	0.515495808
NA	NA	3440164	0.090503105	0.23861297	0.515495808
FAM156B	"family with sequence similarity 156, member B"	240326	-0.09581757	0.238656056	0.515538809
ATG3	ATG3 autophagy related 3 homolog (S. cerevisiae)	1690253	-0.096391847	0.238770648	0.515736252
SCAMP1	secretory carrier membrane protein 1	4220687	-0.079341093	0.238805472	0.515761376
NA	NA	5670056	-0.092315862	0.238923534	0.515938254
ZDHHC9	"zinc finger, DHHC-type containing 9"	4900292	-0.110172583	0.238933769	0.515938254
NA	NA	3120142	0.090723606	0.238977251	0.515982047
SEC22B	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene)	2600500	0.081788237	0.239010805	0.515987525
EIF3H	"eukaryotic translation initiation factor 3, subunit H"	2190064	0.104106992	0.239049624	0.515987525
ZNF524	zinc finger protein 524	5490563	0.087537887	0.239058076	0.515987525
NA	NA	4200184	0.088647163	0.239072596	0.515987525
NA	NA	1230356	0.080679812	0.23911478	0.51602849
TBC1D2B	"TBC1 domain family, member 2B"	2850039	0.097631012	0.239153049	0.516060999
NA	NA	2750487	0.083126121	0.239187204	0.516084624
PABPC1	"poly(A) binding protein, cytoplasmic 1"	3060040	0.133776686	0.239215185	0.516094927
IRF2BP2	interferon regulatory factor 2 binding protein 2	6660768	-0.081637038	0.239313114	0.516256121
C14orf135	chromosome 14 open reading frame 135	4780053	0.086216583	0.239351915	0.516289741
ZDHHC13	"zinc finger, DHHC-type containing 13"	6020091	-0.09047925	0.239426579	0.516400707
NA	NA	630424	-0.089389831	0.239500556	0.516510169
CALM2	"calmodulin 2 (phosphorylase kinase, delta)"	7100711	-0.102401611	0.23953355	0.516522664
MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	4050326	0.102698857	0.239552802	0.516522664
NA	NA	4260521	0.088007892	0.239632493	0.516621363
DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	5670349	0.080735169	0.239645037	0.516621363
LEPR	leptin receptor	1940156	0.097434902	0.239723101	0.516641307
NAP1L2	nucleosome assembly protein 1-like 2	5700382	0.098141737	0.239723545	0.516641307
TXN	thioredoxin	3940446	-0.084312606	0.239723982	0.516641307
IRAK4	interleukin-1 receptor-associated kinase 4	3310491	-0.083578058	0.239821218	0.516800782
NA	NA	2030162	-0.082456794	0.239869283	0.516818702
VSIG4	V-set and immunoglobulin domain containing 4	1410730	-0.078926935	0.239879226	0.516818702
KCNN2	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2"	5360685	0.08655354	0.23991227	0.516818702
RPS7	ribosomal protein S7	6330647	-0.094194182	0.239922491	0.516818702
DAXX	death-domain associated protein	3060722	0.090015545	0.239963041	0.516855987
TADA3	transcriptional adaptor 3	3610414	0.097338123	0.240042186	0.516976388
SCMH1	sex comb on midleg homolog 1 (Drosophila)	510692	-0.082295879	0.240082259	0.517012623
LOC646627	phospholipase inhibitor	5270767	0.128490353	0.240208381	0.517181385
C4orf41	chromosome 4 open reading frame 41	1470519	-0.082326402	0.240243394	0.517181385
NAGLU	"N-acetylglucosaminidase, alpha"	540519	0.080435925	0.240272226	0.517181385
NA	NA	2120450	-0.097058562	0.240288979	0.517181385
KIAA0240	KIAA0240	3420450	-0.079096595	0.240299114	0.517181385
NA	NA	5290161	0.084847562	0.24030016	0.517181385
GTF3C4	"general transcription factor IIIC, polypeptide 4, 90kDa"	1240014	0.086986621	0.240349309	0.517194559
OSTM1	osteopetrosis associated transmembrane protein 1	4060575	0.079616469	0.240368813	0.517194559
IFIH1	interferon induced with helicase C domain 1	4570441	0.081914887	0.24037891	0.517194559
RRP9	"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)"	3460634	-0.08618956	0.240399305	0.517194559
SS18	"synovial sarcoma translocation, chromosome 18"	1230333	-0.095988387	0.240458065	0.517270932
METAP1D	methionyl aminopeptidase type 1D (mitochondrial)	7040092	-0.090351128	0.240493214	0.517272276
NA	NA	1030139	0.090883971	0.240505209	0.517272276
USP39	ubiquitin specific peptidase 39	6020487	-0.077840395	0.240561939	0.51730412
ALDH6A1	"aldehyde dehydrogenase 6 family, member A1"	5820373	-0.108608766	0.240566537	0.51730412
ZMYM5	"zinc finger, MYM-type 5"	6770379	-0.083468412	0.240688472	0.517506097
PCGF5	polycomb group ring finger 5	3440377	0.096865192	0.240707004	0.517506097
MTX2	metaxin 2	2480044	-0.092892502	0.240857098	0.517778734
RABGGTB	"Rab geranylgeranyltransferase, beta subunit"	2600538	-0.08371273	0.240965254	0.517961171
DECR1	"2,4-dienoyl CoA reductase 1, mitochondrial"	510291	0.083638414	0.241023474	0.517965067
NAE1	NEDD8 activating enzyme E1 subunit 1	4010243	0.083798043	0.241048749	0.517965067
TNFRSF10B	"tumor necrosis factor receptor superfamily, member 10b"	2360095	0.081986462	0.241052206	0.517965067
DOK1	"docking protein 1, 62kDa (downstream of tyrosine kinase 1)"	2030204	-0.099763345	0.241066161	0.517965067
GNL3	guanine nucleotide binding protein-like 3 (nucleolar)	6940491	0.087375948	0.24108352	0.517965067
NA	NA	4150563	0.079021747	0.241124448	0.517968915
NA	NA	4150102	0.092485765	0.241131893	0.517968915
NA	NA	460022	-0.098490114	0.241251872	0.518176588
UBE2J1	"ubiquitin-conjugating enzyme E2, J1, U"	5080020	0.080461713	0.241319485	0.518271756
NA	NA	130286	-0.108756043	0.241348843	0.518284754
MRPS21	mitochondrial ribosomal protein S21	3830671	0.092927779	0.241399863	0.518344265
RPL9	ribosomal protein L9	6420730	0.150569555	0.241458567	0.518420261
NUFIP1	nuclear fragile X mental retardation protein interacting protein 1	3130719	-0.083384847	0.241508588	0.518447722
CFDP1	craniofacial development protein 1	6200494	-0.07883671	0.241517982	0.518447722
SCLY	selenocysteine lyase	1580519	-0.085535297	0.241608276	0.518551603
HDAC7	histone deacetylase 7	5420050	0.089258937	0.241613009	0.518551603
EFTUD1	elongation factor Tu GTP binding domain containing 1	6520079	0.085910358	0.241648036	0.518576732
LRP5L	low density lipoprotein receptor-related protein 5-like	540403	0.094322014	0.241769415	0.51878715
ZFP64	zinc finger protein 64 homolog (mouse)	4670328	0.085687308	0.241809583	0.518788043
NA	NA	6550139	-0.133789572	0.241826355	0.518788043
NA	NA	4290468	-0.081025215	0.241839815	0.518788043
PRSS3	"protease, serine, 3"	5080139	0.109972396	0.241955451	0.51894858
CDKN2AIP	CDKN2A interacting protein	5090440	-0.090827465	0.241965141	0.51894858
BRWD1	bromodomain and WD repeat domain containing 1	6200041	0.085123412	0.241984657	0.51894858
SERPINB2	"serpin peptidase inhibitor, clade B (ovalbumin), member 2"	5810095	0.159195065	0.242078381	0.519062244
SNRPC	small nuclear ribonucleoprotein polypeptide C	6270717	0.092767913	0.242084338	0.519062244
NA	NA	7330162	-0.083279407	0.24214177	0.519135335
GSG1	germ cell associated 1	4280646	0.088885189	0.242240837	0.519297665
MIR300	microRNA 300	1510403	-0.085778731	0.242289347	0.519351594
LZTFL1	leucine zipper transcription factor-like 1	6250154	0.087507668	0.242477525	0.519661955
SPIN2B	"spindlin family, member 2B"	770162	0.079780531	0.242480872	0.519661955
NA	NA	6350440	-0.087317489	0.242514055	0.51968299
EFCAB4A	EF-hand calcium binding domain 4A	10592	-0.08583535	0.242620646	0.519850114
NA	NA	4480050	-0.084235154	0.242642559	0.519850114
VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae)	5050349	0.088198304	0.242679964	0.519850114
VKORC1	"vitamin K epoxide reductase complex, subunit 1"	1770703	0.103437804	0.242685547	0.519850114
NA	NA	3450441	-0.105725398	0.242759483	0.519912743
NA	NA	6660543	-0.081827996	0.242761541	0.519912743
TAAR8	trace amine associated receptor 8	2260474	-0.081042529	0.243011105	0.520397108
NA	NA	5560037	0.083266309	0.243214924	0.52078343
NA	NA	650072	0.079809878	0.243361139	0.521046343
STOML2	stomatin (EPB72)-like 2	6650458	-0.081371744	0.243448947	0.521184167
MRPL20	mitochondrial ribosomal protein L20	2060646	0.128673696	0.24347664	0.521193281
NA	NA	4590689	-0.088467315	0.243616415	0.521442296
MRPS31	mitochondrial ribosomal protein S31	630403	-0.081583035	0.243703964	0.521579487
HADH	hydroxyacyl-CoA dehydrogenase	6290709	-0.086275085	0.243779469	0.521690879
NA	NA	2750605	-0.079185321	0.243845952	0.521782944
KAT6A	K(lysine) acetyltransferase 6A	3930195	-0.090852635	0.243911754	0.521803667
HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	2340292	0.118838425	0.243921072	0.521803667
NA	NA	3610551	0.08717551	0.243946308	0.521803667
ANKRD36B	ankyrin repeat domain 36B	6100066	-0.08715145	0.243949491	0.521803667
ZFYVE9	"zinc finger, FYVE domain containing 9"	2650129	-0.081741179	0.244014929	0.521839565
TMEM19	transmembrane protein 19	110196	-0.087716969	0.244035001	0.521839565
NA	NA	6550592	-0.089389946	0.244066876	0.521839565
NA	NA	4390220	0.092178942	0.244082048	0.521839565
SLC7A14	"solute carrier family 7 (orphan transporter), member 14"	6100717	0.104135416	0.244083599	0.521839565
SCYL2	SCY1-like 2 (S. cerevisiae)	1510301	0.083918635	0.244191354	0.521980443
NA	NA	520451	-0.111149201	0.244212118	0.521980443
NA	NA	1850187	0.085428742	0.244219907	0.521980443
LOC100132474	hypothetical protein LOC100132474	2490039	-0.077718325	0.244280375	0.52205951
HIGD1A	"HIG1 hypoxia inducible domain family, member 1A"	3780019	-0.102430935	0.24440637	0.522203044
PPP2CA	"protein phosphatase 2, catalytic subunit, alpha isozyme"	1740240	0.095899516	0.244426259	0.522203044
ZNF473	zinc finger protein 473	620497	-0.091474678	0.244434554	0.522203044
YWHAH	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"	4810653	-0.078457336	0.244483605	0.522203044
B3GNTL1	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1"	1570086	-0.078177008	0.244488352	0.522203044
KPNA2	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"	6250609	-0.117457648	0.244521697	0.522203044
NA	NA	1440398	0.087803346	0.244529551	0.522203044
NA	NA	3120494	0.080384179	0.244535388	0.522203044
DHRS11	dehydrogenase/reductase (SDR family) member 11	3450747	-0.089339693	0.244564741	0.522215581
NA	NA	4060059	-0.09013311	0.244632091	0.522262368
CD68	CD68 molecule	3120370	0.091103655	0.244648225	0.522262368
SRP9	signal recognition particle 9kDa	520209	-0.092442707	0.244657104	0.522262368
ZNF514	zinc finger protein 514	4670309	-0.078065383	0.244838147	0.52259867
YIPF5	"Yip1 domain family, member 5"	4180243	0.093532854	0.244895404	0.522670718
NA	NA	6250279	0.081985247	0.244949446	0.522693061
NCOA6	nuclear receptor coactivator 6	3360086	0.097638688	0.244952879	0.522693061
FBXO43	F-box protein 43	6900039	-0.079080996	0.245079047	0.52291211
FBXO3	F-box protein 3	2750427	-0.098946989	0.245187578	0.52305794
HRES1	HTLV-1 related endogenous sequence	3400706	-0.085560435	0.245194434	0.52305794
NA	NA	870500	0.086020353	0.245322757	0.523233993
FECH	ferrochelatase	7200315	0.076523076	0.245324018	0.523233993
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	2480152	0.085136414	0.245398591	0.523342852
NA	NA	4850228	0.092735598	0.245473305	0.52337214
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	6450095	-0.106362984	0.245476192	0.52337214
PLAT	"plasminogen activator, tissue"	3710044	-0.095416793	0.245490586	0.52337214
SNRK	SNF related kinase	5820338	0.09650472	0.245572207	0.52337214
NA	NA	7100095	-0.08138622	0.245572396	0.52337214
ZBTB48	zinc finger and BTB domain containing 48	5720154	0.07958338	0.245608271	0.52337214
NA	NA	5670142	0.094217205	0.245609454	0.52337214
MEGF10	multiple EGF-like-domains 10	840601	0.077263783	0.245619244	0.52337214
PLEKHA3	"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3"	6860020	0.090019623	0.24562711	0.52337214
GLRX3	glutaredoxin 3	4230189	-0.121103792	0.245647664	0.52337214
FAM72B	"family with sequence similarity 72, member B"	1690437	-0.101029223	0.245713299	0.52346183
Mar-06	membrane-associated ring finger (C3HC4) 6	780544	0.103954681	0.245763828	0.523519326
TRPC1	"transient receptor potential cation channel, subfamily C, member 1"	4180008	-0.086233565	0.2458301	0.523610344
NA	NA	2190682	-0.108505086	0.24595014	0.523815855
ATF7IP2	activating transcription factor 7 interacting protein 2	2480075	-0.084241488	0.246011321	0.523885271
NA	NA	6520100	0.088486688	0.246064338	0.523885271
NA	NA	2140674	0.080447318	0.246071233	0.523885271
ZNF676	zinc finger protein 676	4730601	-0.081963946	0.246083991	0.523885271
ACTN4	"actinin, alpha 4"	270437	0.081535274	0.246100518	0.523885271
IFIT2	interferon-induced protein with tetratricopeptide repeats 2	2600747	-0.07946382	0.246130384	0.523887183
MORN4	MORN repeat containing 4	4060605	0.10772958	0.246148531	0.523887183
MUDENG	"MU-2/AP1M2 domain containing, death-inducing"	2510600	-0.108680944	0.246226314	0.524002583
MAVS	mitochondrial antiviral signaling protein	3420402	-0.097805574	0.246255847	0.524015289
KCNC4	"potassium voltage-gated channel, Shaw-related subfamily, member 4"	840315	0.086420106	0.246294543	0.524047487
NA	NA	130487	-0.087151756	0.246441336	0.52430966
NA	NA	1230270	-0.103186703	0.246501585	0.524387675
DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	2900735	-0.08489983	0.24657415	0.524491871
SH2D2A	SH2 domain containing 2A	3460142	-0.079724776	0.246610832	0.524508872
PLD3	"phospholipase D family, member 3"	6510465	-0.081938587	0.246642091	0.524508872
NA	NA	360564	0.080736656	0.246652897	0.524508872
NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	4230243	0.104203343	0.246802395	0.524776599
SP140	SP140 nuclear body protein	3140041	0.090605963	0.246827854	0.524780559
NA	NA	730347	0.091285451	0.24698876	0.525072463
ANKRD36B	ankyrin repeat domain 36B	3060010	-0.109478794	0.247022235	0.525093431
NA	NA	70324	0.081783905	0.247115048	0.52524052
CLTCL1	"clathrin, heavy chain-like 1"	4730050	-0.08232817	0.247222232	0.525418121
NA	NA	3130195	0.079609669	0.247331684	0.525517903
SNORA32	"small nucleolar RNA, H/ACA box 32"	5890477	-0.084903603	0.247349753	0.525517903
SNORD38A	"small nucleolar RNA, C/D box 38A"	830575	0.081516135	0.247361298	0.525517903
STX17	syntaxin 17	7160136	0.103340544	0.247398361	0.525517903
GEMIN5	gem (nuclear organelle) associated protein 5	6110484	-0.083794861	0.247403273	0.525517903
ZCCHC11	"zinc finger, CCHC domain containing 11"	4560300	0.088204543	0.247428223	0.525517903
NA	NA	1430255	0.081564238	0.247446592	0.525517903
SOCS4	suppressor of cytokine signaling 4	1300349	0.100565668	0.247458225	0.525517903
PSD3	pleckstrin and Sec7 domain containing 3	2260050	0.08024256	0.247546802	0.525601346
QRFPR	pyroglutamylated RFamide peptide receptor	4010736	0.134020726	0.247574984	0.525601346
SLC46A3	"solute carrier family 46, member 3"	2640324	0.084363104	0.247591984	0.525601346
NA	NA	990762	0.082806857	0.247592054	0.525601346
UQCC	ubiquinol-cytochrome c reductase complex chaperone	1170095	0.11258151	0.247792302	0.525932534
NA	NA	4880523	0.08321819	0.247795363	0.525932534
KLHL12	kelch-like 12 (Drosophila)	6660152	0.081139032	0.247880996	0.526064077
DHPS	deoxyhypusine synthase	770543	0.088721589	0.247925922	0.526109216
NA	NA	6660661	-0.082409779	0.247956774	0.526112205
DDHD1	DDHD domain containing 1	2900520	-0.081805222	0.247974645	0.526112205
TBX4	T-box 4	2680414	-0.07785201	0.248134231	0.526331295
NA	NA	2760100	0.086564488	0.248139818	0.526331295
NA	NA	1260053	-0.079197399	0.248148911	0.526331295
LNP1	leukemia NUP98 fusion partner 1	6760181	0.080354376	0.248198304	0.526347092
BTBD10	BTB (POZ) domain containing 10	4250544	0.077256199	0.248203694	0.526347092
SNRNP35	small nuclear ribonucleoprotein 35kDa (U11/U12)	3840719	0.08810028	0.248243977	0.526382322
LAMTOR2	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"	3460066	0.083470317	0.248438507	0.526699827
EFEMP1	EGF containing fibulin-like extracellular matrix protein 1	6900408	-0.093041907	0.248453645	0.526699827
LOC253039	hypothetical LOC253039	5390553	0.086896472	0.248464764	0.526699827
UBE2K	ubiquitin-conjugating enzyme E2K	6220021	-0.077321217	0.248585168	0.526849979
NA	NA	160575	0.087244568	0.248594694	0.526849979
OXCT2	3-oxoacid CoA transferase 2	1400037	-0.090550127	0.248630475	0.526849979
PLXNB2	plexin B2	1820168	0.078583836	0.248643538	0.526849979
UTY	"ubiquitously transcribed tetratricopeptide repeat gene, Y-linked"	3840561	0.11005607	0.248654048	0.526849979
FAM118A	"family with sequence similarity 118, member A"	5290382	0.082588568	0.24881396	0.527093942
AUP1	ancient ubiquitous protein 1	6290053	-0.104070532	0.248820777	0.527093942
TTC7A	tetratricopeptide repeat domain 7A	2000021	-0.095062977	0.248840294	0.527093942
PRKG1	"protein kinase, cGMP-dependent, type I"	6290082	0.081609581	0.248935332	0.527236582
CDC123	cell division cycle 123 homolog (S. cerevisiae)	6100301	0.106812769	0.248966937	0.527236582
MVP	major vault protein	160291	0.085605374	0.249003674	0.527236582
CTSL1	cathepsin L1	4260386	0.084331879	0.249033698	0.527236582
ANKFY1	ankyrin repeat and FYVE domain containing 1	6220152	0.088959566	0.249050511	0.527236582
NA	NA	2690189	0.084340449	0.249060865	0.527236582
DUX3	double homeobox 3	4180670	-0.086107792	0.249073588	0.527236582
NA	NA	5820180	0.08728143	0.249137754	0.527294102
NA	NA	7650239	0.088377223	0.249148182	0.527294102
NA	NA	5670537	0.087204389	0.249187901	0.527325653
ATP5J	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6"	650259	0.105021897	0.249210513	0.527325653
NA	NA	1260528	-0.079754344	0.249235338	0.527328006
ARMC9	armadillo repeat containing 9	4880619	0.090272158	0.249404369	0.527635441
ELMO3	engulfment and cell motility 3	4920121	-0.07750828	0.249448832	0.527636921
SLC41A1	"solute carrier family 41, member 1"	580332	-0.089886659	0.24945252	0.527636921
NA	NA	5810601	-0.081382637	0.249482346	0.527649824
ZKSCAN5	zinc finger with KRAB and SCAN domains 5	6330102	0.086041506	0.249610673	0.52787103
SETD1A	SET domain containing 1A	2510674	0.0938192	0.249704583	0.528019419
MRPS5	mitochondrial ribosomal protein S5	10343	0.075332018	0.249729313	0.528021505
SNHG6	small nucleolar RNA host gene 6 (non-protein coding)	5720520	-0.088110835	0.24981177	0.528145636
APEH	N-acylaminoacyl-peptide hydrolase	450475	0.085880877	0.249944699	0.528376441
NA	NA	3190754	0.092561629	0.25007042	0.528591966
Sep-05	septin 5	6960022	0.106935906	0.250134296	0.528676736
SAMD11	sterile alpha motif domain containing 11	520239	0.07836308	0.250186519	0.528736862
RPS17	ribosomal protein S17	460445	-0.088363383	0.250253818	0.528828835
UNC50	unc-50 homolog (C. elegans)	5390561	0.089706984	0.250323931	0.528926737
FAM73A	"family with sequence similarity 73, member A"	460564	-0.117679588	0.25039124	0.529018696
NA	NA	1980400	0.080278682	0.250511333	0.529222147
ADRM1	adhesion regulating molecule 1	4390121	0.087226543	0.250637758	0.529438934
ARHGAP10	Rho GTPase activating protein 10	2000669	0.087084035	0.250734732	0.529593477
RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	6110739	-0.095245749	0.250792398	0.529614619
SNORA66	"small nucleolar RNA, H/ACA box 66"	3180608	-0.087729018	0.250811148	0.529614619
LIPG	"lipase, endothelial"	2600440	0.074963941	0.250816186	0.529614619
NA	NA	2120164	0.153975702	0.250849801	0.52963531
NA	NA	1230674	-0.08148709	0.250900981	0.529688601
SNORA70C	"small nucleolar RNA, H/ACA box 70C (retrotransposed)"	1470343	0.078827236	0.250922677	0.529688601
TMEM184C	transmembrane protein 184C	6200592	-0.080188166	0.250948017	0.529691813
RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	3890408	0.084249339	0.250994099	0.529738804
CDKN2B	"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"	7610735	0.104792121	0.251087911	0.529886512
PKD2	polycystic kidney disease 2 (autosomal dominant)	70161	-0.082563101	0.251207404	0.530070675
NA	NA	5720037	-0.091462401	0.251222848	0.530070675
RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	2340494	0.100921161	0.25126934	0.530118476
NA	NA	5810288	0.08063981	0.251346465	0.530196432
CDH20	"cadherin 20, type 2"	3370605	-0.076754029	0.251353972	0.530196432
NA	NA	5490630	-0.078323876	0.251432024	0.53021565
BRD4	bromodomain containing 4	6060768	-0.076838519	0.251479085	0.53021565
BCR	breakpoint cluster region	5900100	0.089947252	0.251497713	0.53021565
POLL	"polymerase (DNA directed), lambda"	3190692	0.079688488	0.251507562	0.53021565
ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1	870324	-0.104851771	0.251518581	0.53021565
KIDINS220	"kinase D-interacting substrate, 220kDa"	1400377	0.090535635	0.251542451	0.53021565
NA	NA	4390719	0.080242718	0.251544353	0.53021565
C10orf114	chromosome 10 open reading frame 114	5720575	0.08249298	0.251555395	0.53021565
EXOC3L1	exocyst complex component 3-like 1	4200048	-0.082639248	0.251577658	0.53021565
ARMCX1	"armadillo repeat containing, X-linked 1"	4230451	-0.112583791	0.251631242	0.530278328
NA	NA	3460204	0.085871235	0.251686562	0.530344652
THAP7	THAP domain containing 7	2450132	0.082903132	0.251764346	0.530430826
AHNAK	AHNAK nucleoprotein	450553	-0.079713017	0.251775607	0.530430826
NA	NA	2030168	0.082155607	0.251799012	0.530430826
NA	NA	6270215	0.084687747	0.251869438	0.530470425
COX10	"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)"	3930053	-0.080913739	0.251916485	0.530470425
DICER1	"dicer 1, ribonuclease type III"	5390433	0.110081627	0.251926583	0.530470425
NA	NA	7200632	0.080731491	0.25197763	0.530470425
SNX19	sorting nexin 19	360673	0.078215882	0.251985096	0.530470425
GSTT2B	glutathione S-transferase theta 2B (gene/pseudogene)	2360215	0.07883442	0.252013184	0.530470425
NA	NA	5720270	-0.085893132	0.252015803	0.530470425
GYG2	glycogenin 2	4830750	0.077171909	0.252031032	0.530470425
NA	NA	6180025	-0.084243199	0.252055545	0.530470425
ZSCAN21	zinc finger and SCAN domain containing 21	940576	-0.104658265	0.252056342	0.530470425
NA	NA	3310450	0.078561557	0.252136531	0.530588978
PRKCH	"protein kinase C, eta"	3290731	0.082185482	0.252308902	0.530901473
BRWD1	bromodomain and WD repeat domain containing 1	4200482	0.081651981	0.252390575	0.530987233
NA	NA	3870152	-0.119351164	0.252397412	0.530987233
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	5890768	0.088791627	0.25245489	0.531014047
NA	NA	780360	-0.086335253	0.252480865	0.531014047
BTBD3	BTB (POZ) domain containing 3	10608	-0.096472435	0.25248179	0.531014047
GLO1	glyoxalase I	6770619	0.077045555	0.252558722	0.531125618
TSEN15	tRNA splicing endonuclease 15 homolog (S. cerevisiae)	3870112	-0.083359886	0.252587702	0.531136337
ZNF471	zinc finger protein 471	4760598	0.080636679	0.25261498	0.531143475
TAP2	"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"	3940477	0.089108274	0.252669958	0.531177387
C6orf89	chromosome 6 open reading frame 89	3310181	0.081482147	0.252678878	0.531177387
NA	NA	1070408	0.074886003	0.252743145	0.531249376
BMS1P5	BMS1 pseudogene 5	1260646	0.085854968	0.2527609	0.531249376
RBM25	RNA binding motif protein 25	2230424	-0.084531139	0.252812214	0.531286399
